Code,
1,Railway colony
2,Anantpura
3,Basant vihar
4,Dadwara
5,JDB College
6,Kothri
7,Khedli fatak
8,Jawahar Nagar
9,Rangbari
10,RK Puram
11,Rajeev gandhi nagar
12,Santoshi nagar
13,Vigyan nagar
14,NHMC
15,MBS Hospital
16,Shreenath puram
17,Talwandi
18,Teen batti circle
19,Subash nagar Rangbari
20,Themral colony
21,Vivekanand nagar
22,Keshavpura
23,DRM office
24,Mahaveer Nagar
25,Dadabari
26,Railway station
27,Gumanpura
28,Aerodram circle
29,City mall
30,D mart
31,Nagar Nigam Chhawani
32,GMC rangbari
33,Thermal power plant
34,RTU
35,Sabji mandi kota 
