Code,Lat,Long
1,"25°13'20.43""","75°53'17.71"""
2,"25° 6'47.38""","75°51'27.91"""
3,"25° 9'19.94""","75°49'25.02"""
4,"25°14'8.36""","75°52'46.34"""
5,"25°11'19.49""","75°51'29.34"""
6,"25°10'35.87""","75°50'58.77"""
7,"25°12'49.49""","75°51'53.40"""
8,"25° 9'20.71""","75°50'18.60"""
9,"25° 7'30.05""","75°50'42.53"""
10,"25° 7'38.88""","75°49'32.94"""
11,"25° 8'9.32""","75°50'57.83"""
12,"25° 8'43.38""","75°49'50.09"""
13,"25° 9'15.95""","75°51'37.10"""
14,"25° 7'11.04""","75°49'51.61"""
15,"25°12'49.73""","75°51'53.11"""
16,"25° 8'11.05""","75°49'28.83"""
17,"25° 8'48.12""","75°50'26.44"""
18,"25° 8'43.59""","75°49'45.39"""
19,"25° 7'18.55""","75°50'59.14"""
20,"25°11'5.86""","75°49'40.46"""
21,"25° 7'28.08""","75°48'35.33"""
22,"25° 8'46.29""","75°50'13.50"""
23,"25°13'37.25""","75°53'17.59"""
24,"25° 8'14.06""","75°50'13.41"""
25,"25° 9'28.84""","75°49'38.05"""
26,"25°13'22.93""","75°52'52.84"""
27,"25°10'13.44""","75°50'49.32"""
28,"25°10'5.50""","75°51'6.06"""
29,"25°12'49.74""","75°51'53.11"""
30,"25° 7'25.77""","75°49'24.18"""
31,"25°10'11.77""","75°51'37.08"""
32,"25° 7'24.89""","75°49'46.70"""
33,"25°10'22.50""","75°49'10.13"""
34,"25° 8'18.02""","75°48'27.46"""
35,"25°10'5.26""","75°51'26.58"""
